Sample	Sense	Undetermined	Antisense
Kiley_A_DZM0422_Aerobic_A	2.35	44.16	53.49
Kiley_A_DZM0422_Aerobic_B	2.2399999999999998	43.82	53.949999999999996
Kiley_A_DZM0422_Aerobic_C	2.21	43.769999999999996	54.010000000000005
Kiley_A_DZM0422_Anaerobic_A	2.09	42.449999999999996	55.45
Kiley_A_DZM0422_Anaerobic_B	2.3	42.480000000000004	55.22
Kiley_A_DZM0422_Anaerobic_C	2.44	43.36	54.2
Kiley_A_WT_Aerobic_A	2.55	44.89	52.559999999999995
Kiley_A_WT_Aerobic_B	2.29	45.22	52.49
Kiley_A_WT_Aerobic_C	2.02	44.07	53.910000000000004
Kiley_A_WT_Anaerobic_A	2.2399999999999998	43.91	53.849999999999994
Kiley_A_WT_Anaerobic_B	1.97	44.89	53.14
Kiley_A_WT_Anaerobic_C	2.29	42.03	55.67999999999999
Kiley_B_Dfur_-O2_A	1.03	24.14	74.83
Kiley_B_Dfur_-O2_B	72.07000000000001	8.03	19.900000000000002
Kiley_B_Dfur_-O2_C	9.11	45.67	45.22
Kiley_B_DrsuR_-O2_A	3.82	58.64	37.54
Kiley_B_DrsuR_-O2_B	0.77	25.679999999999996	73.54
Kiley_B_DrsuR_-O2_C	28.449999999999996	22.17	49.38
Kiley_B_WT_+O2_Ctrl_A	13.79	34.48	51.73
Kiley_B_WT_+O2_Ctrl_B	0.16	54.55	45.29
Kiley_B_WT_+O2_Ctrl_C	66.5	6.11	27.400000000000002
Kiley_B_WT_+O2_Paraquat_A	10.9	39.04	50.05
Kiley_B_WT_+O2_Paraquat_B	7.6899999999999995	38.66	53.65
Kiley_B_WT_+O2_Paraquat_C	1.9300000000000002	33.269999999999996	64.8
Kiley_B_WT_-O2_Ctrl_A	0.8	14.430000000000001	84.77
Kiley_B_WT_-O2_Ctrl_B	4.859999999999999	43.19	51.949999999999996
Kiley_B_WT_-O2_Ctrl_C	0.02	18.58	81.39999999999999
Kiley_B_WT_-O2_NoFe_A	36.52	27.54	35.94
Kiley_B_WT_-O2_NoFe_B	22.38	14.96	62.660000000000004
Kiley_B_WT_-O2_NoFe_C	6.950000000000001	34.63	58.43000000000001
Kiley_B_WT_-O2_NoFe_DIP_A	32.98	38.03	28.99
Kiley_B_WT_-O2_NoFe_DIP_B	2.0500000000000003	43.03	54.92
Kiley_B_WT_-O2_NoFe_DIP_C	1.6400000000000001	39.45	58.91
Kiley_B_WT_-O2_Peroxide_A	1.6199999999999999	31.259999999999998	67.11
Kiley_B_WT_-O2_Peroxide_C	5.01	43.04	51.949999999999996
SRX10341586	2.86	41.71	55.43
SRX10341587	4.9	44.09	51.01
SRX10341588	3.4099999999999997	42.14	54.449999999999996
SRX10341589	5.53	50.09	44.39
SRX10341590	2.4	45.08	52.52
SRX10341591	2.71	43.88	53.410000000000004
SRX10341592	2.97	41.339999999999996	55.67999999999999
SRX10341593	3.2	42.17	54.64
SRX10341594	2.96	42.33	54.71
SRX10341595	3.42	41.099999999999994	55.48
SRX10341596	3.5700000000000003	42.18	54.25
SRX10341597	3.16	42.199999999999996	54.65
