Sample	reads_aligned_percentage	not_aligned_percentage	not_aligned	reads_processed	reads_aligned
Kiley_A_DZM0422_Aerobic_A	96.98	3.02	1092249.0	36209803.0	35117554.0
Kiley_A_DZM0422_Aerobic_B	97.14	2.86	982897.0	34351769.0	33368872.0
Kiley_A_DZM0422_Aerobic_C	96.99	3.01	1052417.0	34965019.0	33912602.0
Kiley_A_DZM0422_Anaerobic_A	95.58	4.42	1647525.0	37252520.0	35604995.0
Kiley_A_DZM0422_Anaerobic_B	95.62	4.38	1380976.0	31503978.0	30123002.0
Kiley_A_DZM0422_Anaerobic_C	96.3	3.7	1112427.0	30100604.0	28988177.0
Kiley_A_WT_Aerobic_A	95.77	4.23	1382065.0	32707126.0	31325061.0
Kiley_A_WT_Aerobic_B	96.52	3.48	1008258.0	29010123.0	28001865.0
Kiley_A_WT_Aerobic_C	96.86	3.14	1017111.0	32390557.0	31373446.0
Kiley_A_WT_Anaerobic_A	95.24	4.76	1440036.0	30225623.0	28785587.0
Kiley_A_WT_Anaerobic_B	95.27	4.73	1551121.0	32803160.0	31252039.0
Kiley_A_WT_Anaerobic_C	96.28	3.72	1051863.0	28259068.0	27207205.0
Kiley_B_Dfur_-O2_A	96.16	3.84	158351.0	4121817.0	3963466.0
Kiley_B_Dfur_-O2_B	95.33	4.67	199745.0	4279474.0	4079729.0
Kiley_B_Dfur_-O2_C	95.71	4.29	159261.0	3715838.0	3556577.0
Kiley_B_DrsuR_-O2_A	96.29	3.71	137859.0	3711922.0	3574063.0
Kiley_B_DrsuR_-O2_B	96.38	3.62	147967.0	4092452.0	3944485.0
Kiley_B_DrsuR_-O2_C	96.86	3.14	150614.0	4792966.0	4642352.0
Kiley_B_WT_+O2_Ctrl_A	97.45	2.55	97324.0	3822251.0	3724927.0
Kiley_B_WT_+O2_Ctrl_B	97.04	2.96	99137.0	3347752.0	3248615.0
Kiley_B_WT_+O2_Ctrl_C	96.63	3.37	131879.0	3909283.0	3777404.0
Kiley_B_WT_+O2_Paraquat_A	96.12	3.88	153303.0	3953633.0	3800330.0
Kiley_B_WT_+O2_Paraquat_B	96.37	3.63	118518.0	3260660.0	3142142.0
Kiley_B_WT_+O2_Paraquat_C	97.2	2.8	134791.0	4808759.0	4673968.0
Kiley_B_WT_-O2_Ctrl_A	97.33	2.67	110931.0	4162430.0	4051499.0
Kiley_B_WT_-O2_Ctrl_B	96.28	3.72	115999.0	3116951.0	3000952.0
Kiley_B_WT_-O2_Ctrl_C	96.76	3.24	133291.0	4108839.0	3975548.0
Kiley_B_WT_-O2_NoFe_A	97.02	2.98	123343.0	4139046.0	4015703.0
Kiley_B_WT_-O2_NoFe_B	96.25	3.75	185850.0	4960365.0	4774515.0
Kiley_B_WT_-O2_NoFe_C	95.68	4.32	189682.0	4387293.0	4197611.0
Kiley_B_WT_-O2_NoFe_DIP_A	95.62	4.38	140977.0	3217597.0	3076620.0
Kiley_B_WT_-O2_NoFe_DIP_B	96.53	3.47	149428.0	4306634.0	4157206.0
Kiley_B_WT_-O2_NoFe_DIP_C	96.19	3.81	223179.0	5863653.0	5640474.0
Kiley_B_WT_-O2_Peroxide_A	97.2	2.8	117409.0	4198447.0	4081038.0
Kiley_B_WT_-O2_Peroxide_C	96.4	3.6	137434.0	3818506.0	3681072.0
SRX10341586	94.41	5.59	508079.0	9088425.0	8580346.0
SRX10341587	93.7	6.3	560961.0	8905755.0	8344794.0
SRX10341588	95.17	4.83	359971.0	7450199.0	7090228.0
SRX10341589	96.24	3.76	309509.0	8221261.0	7911752.0
SRX10341590	90.78	9.22	1152902.0	12509896.0	11356994.0
SRX10341591	90.48	9.52	1199343.0	12596381.0	11397038.0
SRX10341592	95.84	4.16	335760.0	8067787.0	7732027.0
SRX10341593	95.41	4.59	381245.0	8308643.0	7927398.0
SRX10341594	95.08	4.92	472278.0	9603527.0	9131249.0
SRX10341595	94.65	5.35	502871.0	9396693.0	8893822.0
SRX10341596	95.23	4.77	434418.0	9111564.0	8677146.0
SRX10341597	94.89	5.11	373556.0	7312482.0	6938926.0
SRX11348531	70.25	29.75	3238167.0	10885417.0	7647250.0
SRX11348532	71.63	28.37	3634442.0	12812744.0	9178302.0
SRX1432806	68.23	31.77	4620313.0	14545282.0	9924969.0
SRX14563846	96.55	3.45	796292.0	23071688.0	22275396.0
SRX14563847	94.92	5.08	1089459.0	21441879.0	20352420.0
SRX14563848	90.53	9.47	2280728.0	24084203.0	21803475.0
SRX14563849	96.79	3.21	750265.0	23339702.0	22589437.0
SRX14570260	93.67	6.33	767182.0	12121307.0	11354125.0
SRX14570261	93.6	6.4	598890.0	9352030.0	8753140.0
SRX14570262	93.88	6.12	654452.0	10697417.0	10042965.0
SRX14570263	92.95	7.05	848647.0	12040155.0	11191508.0
SRX14570264	93.62	6.38	810352.0	12711059.0	11900707.0
SRX14570265	94.06	5.94	818980.0	13786146.0	12967166.0
SRX14570266	93.81	6.19	877464.0	14185946.0	13308482.0
SRX14570267	94.16	5.84	798184.0	13668098.0	12869914.0
SRX14570268	93.66	6.34	704747.0	11115864.0	10411117.0
SRX14570269	93.34	6.66	556197.0	8345837.0	7789640.0
