Sample	percent_trimmed	r_written	quality_trimmed	r_processed	cutadapt_version	r_with_adapters	bp_written	bp_processed
Kiley_A_DZM0422_Aerobic_A	9.889658362339976	36247731	6302147	36247731	4.4	21176068	4899443136	5437159650
Kiley_A_DZM0422_Aerobic_B	9.359970470683049	34391133	5509950	34391133	4.4	19801327	4675819966	5158669950
Kiley_A_DZM0422_Aerobic_C	9.093504200477941	35013714	2746391	35013714	4.4	20280173	4774461067	5252057100
Kiley_A_DZM0422_Anaerobic_A	8.944407787834956	37305687	7418477	37305687	4.4	21050496	5095337134	5595853050
Kiley_A_DZM0422_Anaerobic_B	9.867652273876816	31539542	6182322	31539542	4.4	18496226	4264099450	4730931300
Kiley_A_DZM0422_Anaerobic_C	9.452123919946379	30134885	8068337	30134885	4.4	17684375	4092974749	4520232750
Kiley_A_WT_Aerobic_A	9.681937864509159	32745805	18428910	32745805	4.4	19364983	4436306476	4911870750
Kiley_A_WT_Aerobic_B	9.598395405556131	29040526	3481835	29040526	4.4	16997067	3937965223	4356078900
Kiley_A_WT_Aerobic_C	9.334309083029124	32429765	5698761	32429765	4.4	18537310	4410400575	4864464750
Kiley_A_WT_Anaerobic_A	11.383684662559029	30272223	6540000	30272223	4.4	18699940	4023919289	4540833450
Kiley_A_WT_Anaerobic_B	10.054319656650186	32846268	6573021	32846268	4.4	19655766	4431569883	4926940200
Kiley_A_WT_Anaerobic_C	9.026452170169081	28293671	3887172	28293671	4.4	16802742	3860963448	4244050650
Kiley_B_Dfur_-O2_A	0.344533336778171	4123705	504709	4123705	4.4	1126781	597093108	599157405
Kiley_B_Dfur_-O2_B	0.3351758344118545	4281130	446794	4281130	4.4	1185740	619562343	621645950
Kiley_B_Dfur_-O2_C	0.3142549028020325	3717905	156503	3717905	4.4	1105377	537327760	539021662
Kiley_B_DrsuR_-O2_A	0.3282097769928449	3713426	378066	3713426	4.4	987309	535226732	536989183
Kiley_B_DrsuR_-O2_B	0.3350351593109275	4094233	446680	4094233	4.4	1100947	591048494	593035371
Kiley_B_DrsuR_-O2_C	0.3194298242692831	4795012	205050	4795012	4.4	1426991	692489662	694708769
Kiley_B_WT_+O2_Ctrl_A	0.3244771167045568	3823184	164298	3823184	4.4	1148107	550383159	552174840
Kiley_B_WT_+O2_Ctrl_B	0.3230715695735092	3348814	161555	3348814	4.4	982865	480648286	482206157
Kiley_B_WT_+O2_Ctrl_C	0.3355123170424071	3911176	438069	3911176	4.4	1030174	560402495	562289044
Kiley_B_WT_+O2_Paraquat_A	0.3260134851009392	3955065	382121	3955065	4.4	1061969	569235687	571097542
Kiley_B_WT_+O2_Paraquat_B	0.32714478276067027	3261971	325364	3261971	4.4	864521	467847744	469383307
Kiley_B_WT_+O2_Paraquat_C	0.3228418377254505	4811238	202882	4811238	4.4	1427860	689127899	691359898
Kiley_B_WT_-O2_Ctrl_A	0.3200681669773103	4163528	329768	4163528	4.4	1134763	600636459	602565078
Kiley_B_WT_-O2_Ctrl_B	0.4430125369998881	3121594	815860	3121594	4.4	845857	449416064	451415893
Kiley_B_WT_-O2_Ctrl_C	0.3218015483371573	4112318	167050	4112318	4.4	1227852	593272614	595187938
Kiley_B_WT_-O2_NoFe_A	0.33625539411454064	4141057	467057	4141057	4.4	1095846	593628050	595630891
Kiley_B_WT_-O2_NoFe_B	0.33541345602286	4962544	528523	4962544	4.4	1340396	714290375	716694264
Kiley_B_WT_-O2_NoFe_C	0.3232618446743447	4388971	188194	4388971	4.4	1323328	635110428	637170156
Kiley_B_WT_-O2_NoFe_DIP_A	0.42137857458710876	3221548	729450	3221548	4.4	889837	465043046	467010930
Kiley_B_WT_-O2_NoFe_DIP_B	0.3223967446298842	4308031	383722	4308031	4.4	1150844	618735801	620737037
Kiley_B_WT_-O2_NoFe_DIP_C	0.3191734053258725	5867384	257194	5867384	4.4	1722565	843995303	846697737
Kiley_B_WT_-O2_Peroxide_A	0.36081660519260694	4201360	607622	4201360	4.4	1121922	601353618	603531259
Kiley_B_WT_-O2_Peroxide_C	0.31019027803309795	3819793	176262	3819793	4.4	1107481	546451296	548151609
SRX10341586	0.4915274219400236	9090051	682546	9090051	4.4	3035966	1356805636	1363507650
SRX10341587	0.5194308032744497	8906657	1151766	8906657	4.4	2876126	1329058962	1335998550
SRX10341588	0.5496925307681743	7450610	697149	7450610	4.4	2406497	1111448183	1117591500
SRX10341589	0.49400628011773745	8222245	336798	8222245	4.4	2491332	1227243989	1233336750
SRX10341590	0.4467036597679057	12511522	1357594	12511522	4.4	3839576	1868344886	1876728300
SRX10341591	0.4136008679693721	12598294	803611	12598294	4.4	4027027	1881928102	1889744100
SRX10341592	0.5489655951940825	8068553	533210	8068553	4.4	2699795	1203638913	1210282950
SRX10341593	0.5720771913914375	8309804	854732	8309804	4.4	2627344	1239339826	1246470600
SRX10341594	0.6004960128438591	9604590	1008346	9604590	4.4	3064150	1432037223	1440688500
SRX10341595	0.5442940144477636	9397579	605489	9397579	4.4	3155833	1401964281	1409636850
SRX10341596	0.5208953269318701	9112500	589740	9112500	4.4	3037175	1359755012	1366875000
SRX10341597	0.5776942628342351	7313129	760724	7313129	4.4	2315418	1090632221	1096969350
SRX11348531	0.498572487689021	10886421	967101	10886421	4.4	3526489	1624821645	1632963150
SRX11348532	0.6027013171635038	12813823	939845	12813823	4.4	4184662	1910489088	1922073450
SRX1432806	1.8522260287415149	14648845	2458886	14648845	4.4	4661150	718875764	732442250
SRX14563846	3.314532554369477	23215484	8452114	23215484	4.4	10682811	3389345883	3505538084
SRX14563847	8.187950429625042	22717430	99963810	22717430	4.4	10109914	3149458052	3430331930
SRX14563848	6.181724371499862	24522616	42662546	24522616	4.4	12151737	3474011016	3702915016
SRX14563849	5.149196394273377	23937958	31606153	23937958	4.4	11270986	3428507175	3614631658
SRX14570260	0.5878912685224481	12123015	1373999	12123015	4.4	3727443	1807761728	1818452250
SRX14570261	0.5482727906539884	9353209	1155118	9353209	4.4	3112491	1395289185	1402981350
SRX14570262	0.5342256606957076	10699063	1245293	10699063	4.4	3555463	1596285879	1604859450
SRX14570263	0.5013445879721667	12041731	1266982	12041731	4.4	3630931	1797204065	1806259650
SRX14570264	0.47002234343697824	12712607	1292307	12712607	4.4	3841310	1897928236	1906891050
SRX14570265	0.42997475939980445	13787707	1081699	13787707	4.4	4449087	2059263501	2068156050
SRX14570266	0.457197573490101	14187455	1382326	14187455	4.4	4605407	2118388545	2128118250
SRX14570267	0.46159671257799234	13669394	1153709	13669394	4.4	4123628	2040944479	2050409100
SRX14570268	0.4730898318489473	11117167	1271335	11117167	4.4	3371203	1659685922	1667575050
SRX14570269	0.5684192215157223	8346938	1082420	8346938	4.4	2791489	1244923860	1252040700
SRX14570270	0.46778363083599117	10824161	1219026	10824161	4.4	3295295	1616029102	1623624150
SRX14570271	0.542946464545086	9455497	1221622	9455497	4.4	3172136	1410623807	1418324550
SRX14570272	0.5720035572994651	10055568	1245108	10055568	4.4	3341604	1499707469	1508335200
SRX14570273	0.47924352031354106	10091692	1149722	10091692	4.4	3050961	1506499233	1513753800
SRX14570274	0.495672234184731	11326591	1162001	11326591	4.4	3467821	1690567235	1698988650
SRX14570275	0.5583325050061437	11539321	1380221	11539321	4.4	3849544	1721233983	1730898150
SRX14570276	0.5516772705033944	10613454	1640256	10613454	4.4	3528986	1583235298	1592018100
SRX14570277	0.5273803154584963	13980920	1999478	13980920	4.4	4280120	2086078107	2097138000
SRX14953908	0.727595144412357	40683603	5481706	40683603	4.4	13791589	4038759108	4068360300
SRX14953909	1.1935803013292756	32706613	19259442	32706613	4.4	10006040	3231623331	3270661300
SRX14953910	0.6727434388311826	33120928	4517910	33120928	4.4	11019475	3289810913	3312092800
SRX14953911	0.8905171401206394	30836014	12344238	30836014	4.4	9282583	3056141401	3083601400
SRX14953912	0.8063678214088725	31484834	12315764	31484834	4.4	8078586	3123095043	3148483400
SRX14953913	0.7827706938178478	35368087	5448690	35368087	4.4	11551743	3509123598	3536808700
SRX14953914	0.6692732744284385	28689523	3536301	28689523	4.4	9732599	2849751169	2868952300
SRX14953915	0.7974440001416586	28716903	11407427	28716903	4.4	7311431	2848790178	2871690300
SRX14953916	0.9824972904360655	33164008	16978493	33164008	4.4	9314065	3283817252	3316400800
SRX14953917	0.7291723655825035	33390854	5230337	33390854	4.4	10980596	3314737712	3339085400
SRX14953918	3.703361271890909	36900020	33034397	36900020	4.4	13006240	3553347895	3690002000
SRX14953919	0.9614355279022108	36487288	19199312	36487288	4.4	9646128	3613648625	3648728800
SRX14953920	0.7283248415663299	33943858	4840853	33943858	4.4	11601746	3369663645	3394385800
SRX14953921	1.070888321941482	35305646	22000771	35305646	4.4	9706822	3492756196	3530564600
SRX14953922	1.0526263759890357	37478678	21284267	37478678	4.4	9603641	3708416755	3747867800
