Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity
Kiley_A_DZM0422_Aerobic_A	0	0	2757562	0	0	0	56316666	77.76439159307219	0	0	3592802	0	7522108	72419606	0	2184498	45970
Kiley_A_DZM0422_Aerobic_B	0	0	2784060	0	0	0	54552211	79.40233150729443	0	0	3267114	0	6090661	68703538	0	1965794	43698
Kiley_A_DZM0422_Aerobic_C	0	0	2761395	0	0	0	55045254	78.71474916115446	0	0	3326711	0	6646331	69930038	0	2104834	45513
Kiley_A_DZM0422_Anaerobic_A	0	0	2914505	0	0	0	58375783	78.35145514987978	0	0	3402515	0	6465873	74505040	0	3295050	51314
Kiley_A_DZM0422_Anaerobic_B	0	0	2413210	0	0	0	49423959	78.44082261611534	0	0	3102712	0	5262562	63007956	0	2761952	43561
Kiley_A_DZM0422_Anaerobic_C	0	0	2327283	0	0	0	46669605	77.52270519222803	0	0	3131980	0	5806319	60201208	0	2224854	41167
Kiley_A_WT_Aerobic_A	0	0	2504742	0	0	0	50364330	76.99290056851831	0	0	3463491	0	6274490	65414252	0	2764130	43069
Kiley_A_WT_Aerobic_B	0	0	2237386	0	0	0	44983620	77.53090188552459	0	0	2845448	0	5899621	58020246	0	2016516	37655
Kiley_A_WT_Aerobic_C	0	0	2644618	0	0	0	51289282	79.17320162169487	0	0	2922132	0	5848477	64781114	0	2034222	42383
Kiley_A_WT_Anaerobic_A	0	0	2197554	0	0	0	46187071	76.40383624185347	0	0	2828551	0	6316592	60451246	0	2880072	41406
Kiley_A_WT_Anaerobic_B	0	0	2551803	0	0	0	50037538	76.26938685175453	0	0	2790731	0	7083229	65606320	0	3102242	40777
Kiley_A_WT_Anaerobic_C	0	0	2391990	0	0	0	45366315	80.26859732245947	0	0	2683299	0	3933069	56518136	0	2103726	39737
