Sample	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	FastQC_mqc-generalstats-fastqc-percent_gc	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-total_sequences	featureCounts_mqc-generalstats-featurecounts-percent_assigned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_fails
Kiley_A_DZM0422_Aerobic_A	35117554.0	56316666	134.89368268587376	147	96.98	48.0	9.889658362339976	36209803.0	77.76439159307219	92.48086261320329	18.181818181818183
Kiley_A_DZM0422_Aerobic_B	33368872.0	54552211	135.67210102047437	147	97.14	48.0	9.359970470683049	34351769.0	79.40233150729443	92.15524977903756	18.181818181818183
Kiley_A_DZM0422_Aerobic_C	33912602.0	55045254	136.19503887585475	147	96.99	48.0	9.093504200477941	34965019.0	78.71474916115446	92.16608882059735	18.181818181818183
Kiley_A_DZM0422_Anaerobic_A	35604995.0	58375783	136.2974610039804	147	95.58	48.0	8.944407787834956	37252520.0	78.35145514987978	90.96674177938944	18.181818181818183
Kiley_A_DZM0422_Anaerobic_B	30123002.0	49423959	134.92614596163062	147	95.62	48.0	9.867652273876816	31503978.0	78.44082261611534	91.02732219993719	18.181818181818183
Kiley_A_DZM0422_Anaerobic_C	28988177.0	46669605	135.61562375957638	147	96.3	48.0	9.452123919946379	30100604.0	77.52270519222803	91.57900393657646	18.181818181818183
Kiley_A_WT_Aerobic_A	31325061.0	50364330	135.26459478585798	147	95.77	49.0	9.681937864509159	32707126.0	76.99290056851831	91.69838167438614	18.181818181818183
Kiley_A_WT_Aerobic_B	28001865.0	44983620	135.37137660533187	147	96.52	49.0	9.598395405556131	29010123.0	77.53090188552459	91.93775560106812	18.181818181818183
Kiley_A_WT_Aerobic_C	31373446.0	51289282	135.68678726333727	147	96.86	49.0	9.334309083029124	32390557.0	79.17320162169487	92.81681655889957	18.181818181818183
Kiley_A_WT_Anaerobic_A	28785587.0	46187071	132.6852426499199	147	95.24	48.0	11.383684662559029	30225623.0	76.40383624185347	91.03258212026621	18.181818181818183
Kiley_A_WT_Anaerobic_B	31252039.0	50037538	134.65767898580503	147	95.27	48.0	10.054319656650186	32803160.0	76.26938685175453	90.65930358346846	18.181818181818183
Kiley_A_WT_Anaerobic_C	27207205.0	45366315	136.274897530237	147	96.28	48.0	9.026452170169081	28259068.0	80.26859732245947	91.46571167359548	18.181818181818183
Kiley_B_Dfur_-O2_A	3963466.0	6881332	144.41732032256647	150	96.16	48.0	0.344533336778171	4121817.0	83.47449680565634	90.6304420702435	18.181818181818183
Kiley_B_Dfur_-O2_B	4079729.0	97409	144.3245060023732	150	95.33	47.0	0.3351758344118545	4279474.0	1.138095476219741	91.47109903244029	18.181818181818183
Kiley_B_Dfur_-O2_C	3556577.0	6172480	144.10055093898066	150	95.71	47.0	0.3142549028020325	3715838.0	83.05636575114416	88.44437125531417	18.181818181818183
Kiley_B_DrsuR_-O2_A	3574063.0	6267028	143.76245890942752	150	96.29	48.0	0.3282097769928449	3711922.0	84.41756049830789	90.62009610154811	18.181818181818183
Kiley_B_DrsuR_-O2_B	3944485.0	6920037	143.9902325060868	150	96.38	48.0	0.3350351593109275	4092452.0	84.546342877082	90.38870807726066	18.181818181818183
Kiley_B_DrsuR_-O2_C	4642352.0	8251754	144.02852137903753	150	96.86	48.0	0.3194298242692831	4792966.0	86.08191670877699	91.58536231453647	18.181818181818183
Kiley_B_WT_+O2_Ctrl_A	3724927.0	6434099	143.52225717254046	150	97.45	48.0	0.3244771167045568	3822251.0	84.16635903816886	88.40613120032486	18.181818181818183
