Sample	se_antisense	failed	pe_antisense	se_sense	pe_sense
Kiley_A_DZM0422_Aerobic_A		0.4416	0.5349		0.0235
Kiley_A_DZM0422_Aerobic_B		0.4382	0.5395		0.0224
Kiley_A_DZM0422_Aerobic_C		0.4377	0.5401		0.0221
Kiley_A_DZM0422_Anaerobic_A		0.4245	0.5545		0.0209
Kiley_A_DZM0422_Anaerobic_B		0.4248	0.5522		0.023
Kiley_A_DZM0422_Anaerobic_C		0.4336	0.542		0.0244
Kiley_A_WT_Aerobic_A		0.4489	0.5256		0.0255
Kiley_A_WT_Aerobic_B		0.4522	0.5249		0.0229
Kiley_A_WT_Aerobic_C		0.4407	0.5391		0.0202
Kiley_A_WT_Anaerobic_A		0.4391	0.5385		0.0224
Kiley_A_WT_Anaerobic_B		0.4489	0.5314		0.0197
Kiley_A_WT_Anaerobic_C		0.4203	0.5568		0.0229
Kiley_B_Dfur_-O2_A		0.2414	0.7483		0.0103
Kiley_B_Dfur_-O2_B		0.0803	0.199		0.7207
Kiley_B_Dfur_-O2_C		0.4567	0.4522		0.0911
Kiley_B_DrsuR_-O2_A		0.5864	0.3754		0.0382
Kiley_B_DrsuR_-O2_B		0.2568	0.7354		0.0077
Kiley_B_DrsuR_-O2_C		0.2217	0.4938		0.2845
Kiley_B_WT_+O2_Ctrl_A		0.3448	0.5173		0.1379
Kiley_B_WT_+O2_Ctrl_B		0.5455	0.4529		0.0016
Kiley_B_WT_+O2_Ctrl_C		0.0611	0.274		0.665
Kiley_B_WT_+O2_Paraquat_A		0.3904	0.5005		0.109
Kiley_B_WT_+O2_Paraquat_B		0.3866	0.5365		0.0769
Kiley_B_WT_+O2_Paraquat_C		0.3327	0.648		0.0193
Kiley_B_WT_-O2_Ctrl_A		0.1443	0.8477		0.008
Kiley_B_WT_-O2_Ctrl_B		0.4319	0.5195		0.0486
Kiley_B_WT_-O2_Ctrl_C		0.1858	0.814		0.0002
Kiley_B_WT_-O2_NoFe_A		0.2754	0.3594		0.3652
Kiley_B_WT_-O2_NoFe_B		0.1496	0.6266		0.2238
Kiley_B_WT_-O2_NoFe_C		0.3463	0.5843		0.0695
Kiley_B_WT_-O2_NoFe_DIP_A		0.3803	0.2899		0.3298
Kiley_B_WT_-O2_NoFe_DIP_B		0.4303	0.5492		0.0205
Kiley_B_WT_-O2_NoFe_DIP_C		0.3945	0.5891		0.0164
Kiley_B_WT_-O2_Peroxide_A		0.3126	0.6711		0.0162
Kiley_B_WT_-O2_Peroxide_C		0.4304	0.5195		0.0501
SRX10341586		0.4171	0.5543		0.0286
SRX10341587		0.4409	0.5101		0.049
SRX10341588		0.4214	0.5445		0.0341
SRX10341589		0.5009	0.4439		0.0553
SRX10341590		0.4508	0.5252		0.024
SRX10341591		0.4388	0.5341		0.0271
SRX10341592		0.4134	0.5568		0.0297
SRX10341593		0.4217	0.5464		0.032
SRX10341594		0.4233	0.5471		0.0296
SRX10341595		0.411	0.5548		0.0342
SRX10341596		0.4218	0.5425		0.0357
SRX10341597		0.422	0.5465		0.0316
