Sample	Unassigned_Read_Type	Unassigned_Chimera	Unassigned_Overlapping_Length	Unassigned_Secondary	Unassigned_MappingQuality	Unassigned_FragmentLength	Assigned	percent_assigned	Unassigned_MultiMapping	Unassigned_Singleton	Unassigned_NoFeatures	Unassigned_Duplicate	Unassigned_rRNA	Total	Unassigned_NonSplit	Unassigned_Unmapped	Unassigned_Ambiguity	reads_aligned_percentage	not_aligned_percentage	not_aligned	reads_processed	reads_aligned	per_base_sequence_content	per_sequence_quality_scores	overrepresented_sequences	per_sequence_gc_content	Sequences flagged as poor quality	avg_sequence_length	sequence_length_distribution	sequence_duplication_levels	Total Sequences	basic_statistics	Filename	per_base_sequence_quality	adapter_content	%GC	median_sequence_length	per_tile_sequence_quality	File type	Total Bases	per_base_n_content	total_deduplicated_percentage	Encoding	Sequence length	percent_trimmed	r_written	quality_trimmed	r_processed	cutadapt_version	r_with_adapters	bp_written	bp_processed	se_antisense	failed	pe_antisense	se_sense	pe_sense
Kiley_A_DZM0422_Aerobic_A	0	0	2757562	0	0	0	56316666	77.76439159307219	0	0	3592802	0	7522108	72419606	0	2184498	45970	96.98	3.02	1092249.0	36209803.0	35117554.0	fail	pass	warn	warn	0.0	134.89368268587376	warn	fail	36209803.0	pass	Kiley_A_DZM0422_Aerobic_A_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	4.8 Gbp	pass	7.519137386796714	Sanger / Illumina 1.9	20-150	9.889658362339976	36247731	6302147	36247731	4.4	21176068	4899443136	5437159650		0.4416	0.5349		0.0235
Kiley_A_DZM0422_Aerobic_B	0	0	2784060	0	0	0	54552211	79.40233150729443	0	0	3267114	0	6090661	68703538	0	1965794	43698	97.14	2.86	982897.0	34351769.0	33368872.0	fail	pass	warn	pass	0.0	135.67210102047437	warn	fail	34351769.0	pass	Kiley_A_DZM0422_Aerobic_B_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	4.6 Gbp	pass	7.844750220962443	Sanger / Illumina 1.9	20-150	9.359970470683049	34391133	5509950	34391133	4.4	19801327	4675819966	5158669950		0.4382	0.5395		0.0224
Kiley_A_DZM0422_Aerobic_C	0	0	2761395	0	0	0	55045254	78.71474916115446	0	0	3326711	0	6646331	69930038	0	2104834	45513	96.99	3.01	1052417.0	34965019.0	33912602.0	fail	pass	warn	pass	0.0	136.19503887585475	warn	fail	34965019.0	pass	Kiley_A_DZM0422_Aerobic_C_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	4.7 Gbp	pass	7.833911179402644	Sanger / Illumina 1.9	20-150	9.09350420047794	35013714	2746391	35013714	4.4	20280173	4774461067	5252057100		0.4377	0.5401		0.0221
Kiley_A_DZM0422_Anaerobic_A	0	0	2914505	0	0	0	58375783	78.35145514987978	0	0	3402515	0	6465873	74505040	0	3295050	51314	95.58	4.42	1647525.0	37252520.0	35604995.0	fail	pass	warn	warn	0.0	136.2974610039804	warn	fail	37252520.0	pass	Kiley_A_DZM0422_Anaerobic_A_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	5 Gbp	pass	9.033258220610556	Sanger / Illumina 1.9	20-150	8.944407787834956	37305687	7418477	37305687	4.4	21050496	5095337134	5595853050		0.4245	0.5545		0.0209
Kiley_A_DZM0422_Anaerobic_B	0	0	2413210	0	0	0	49423959	78.44082261611534	0	0	3102712	0	5262562	63007956	0	2761952	43561	95.62	4.38	1380976.0	31503978.0	30123002.0	fail	pass	warn	warn	0.0	134.92614596163062	warn	fail	31503978.0	pass	Kiley_A_DZM0422_Anaerobic_B_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	4.2 Gbp	pass	8.972677800062808	Sanger / Illumina 1.9	20-150	9.867652273876816	31539542	6182322	31539542	4.4	18496226	4264099450	4730931300		0.4248	0.5522		0.023
Kiley_A_DZM0422_Anaerobic_C	0	0	2327283	0	0	0	46669605	77.52270519222803	0	0	3131980	0	5806319	60201208	0	2224854	41167	96.3	3.7	1112427.0	30100604.0	28988177.0	fail	pass	warn	warn	0.0	135.61562375957638	warn	fail	30100604.0	pass	Kiley_A_DZM0422_Anaerobic_C_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	4 Gbp	pass	8.420996063423546	Sanger / Illumina 1.9	20-150	9.45212391994638	30134885	8068337	30134885	4.4	17684375	4092974749	4520232750		0.4336	0.542		0.0244
Kiley_A_WT_Aerobic_A	0	0	2504742	0	0	0	50364330	76.99290056851831	0	0	3463491	0	6274490	65414252	0	2764130	43069	95.77	4.23	1382065.0	32707126.0	31325061.0	fail	pass	warn	warn	0.0	135.26459478585798	warn	fail	32707126.0	pass	Kiley_A_WT_Aerobic_A_val_1.fq.gz	pass	pass	49.0	147	pass	Conventional base calls	4.4 Gbp	pass	8.301618325613859	Sanger / Illumina 1.9	20-150	9.68193786450916	32745805	18428910	32745805	4.4	19364983	4436306476	4911870750		0.4489	0.5256		0.0255
Kiley_A_WT_Aerobic_B	0	0	2237386	0	0	0	44983620	77.53090188552459	0	0	2845448	0	5899621	58020246	0	2016516	37655	96.52	3.48	1008258.0	29010123.0	28001865.0	fail	pass	warn	warn	0.0	135.37137660533187	warn	fail	29010123.0	pass	Kiley_A_WT_Aerobic_B_val_1.fq.gz	pass	pass	49.0	147	pass	Conventional base calls	3.9 Gbp	pass	8.062244398931886	Sanger / Illumina 1.9	20-150	9.598395405556133	29040526	3481835	29040526	4.4	16997067	3937965223	4356078900		0.4522	0.5249		0.0229
Kiley_A_WT_Aerobic_C	0	0	2644618	0	0	0	51289282	79.17320162169487	0	0	2922132	0	5848477	64781114	0	2034222	42383	96.86	3.14	1017111.0	32390557.0	31373446.0	fail	pass	warn	pass	0.0	135.6867872633373	warn	fail	32390557.0	pass	Kiley_A_WT_Aerobic_C_val_1.fq.gz	pass	pass	49.0	147	pass	Conventional base calls	4.4 Gbp	pass	7.183183441100429	Sanger / Illumina 1.9	20-150	9.334309083029124	32429765	5698761	32429765	4.4	18537310	4410400575	4864464750		0.4407	0.5391		0.0202
Kiley_A_WT_Anaerobic_A	0	0	2197554	0	0	0	46187071	76.40383624185347	0	0	2828551	0	6316592	60451246	0	2880072	41406	95.24	4.76	1440036.0	30225623.0	28785587.0	fail	pass	warn	warn	0.0	132.6852426499199	warn	fail	30225623.0	pass	Kiley_A_WT_Anaerobic_A_val_2.fq.gz	pass	pass	48.0	147	pass	Conventional base calls	4 Gbp	pass	8.967417879733791	Sanger / Illumina 1.9	20-150	11.383684662559029	30272223	6540000	30272223	4.4	18699940	4023919289	4540833450		0.4391	0.5385		0.0224
